ticker,company name,short name
IWX,iShares Russell Top 200 Value,iShares Russell Top 200 Value
IWY,iShares Russell Top 200 Growth,iShares Russell Top 200 Growth
IX,Orixp Ads,Orix Ads
IXC,iShares Global Energy,iShares Global Energy
IXG,iShares Global Financial,iShares Global Financial
IXJ,iShares Global Healthcare,iShares Global Healthcare
IXN,iShares Global Tech,iShares Global Tech
IXP,iShares Globalm Services,iShares Global Comm Services
IXUS,iSharese MSCI Total International Stock ETF,iShares Core MSCI Total International Stock ETF
IYC,iShares U.S.sumer Services,iShares U.S. Consumer Services
IYE,iShares U.S. Energy,iShares U.S. Energy
IYF,iShares U.S. Financial,iShares U.S. Financial
IYG,iShares U.S. Financial Services,iShares U.S. Financial Services
IYH,iShares U.S. Healthcare,iShares U.S. Healthcare
IYJ,iShares U.S. Industrials,iShares U.S. Industrials
IYK,iShares U.S.sumer Goods,iShares U.S. Consumer Goods
IYM,iShares U.S. Basic Materials,iShares U.S. Basic Materials
IYR,iShares U.S. Real Estate,iShares U.S. Real Estate
IYT,iShares Transportation Average,iShares Transportation Average
IYW,iShares U.S. Technology,iShares U.S. Technology
IYY,iShares Dow Jones U.S.,iShares Dow Jones U.S.
IYZ,iShares U.S. Telecommunications,iShares U.S. Telecommunications
IZEA,IZEA Worldwide,IZEA Worldwide
JACK,Jack In The Box,Jack In The Box
JAG,Jagged Peak Energy,Jagged Peak Energy
JAGX,Jaguar Health,Jaguar Health
JAKK,JAKKS Pacific,JAKKS Pacific
JASN,Jason Industries,Jason Industries
JAX,J. Alexander's Holdings,J. Alexander's
JAZZ,Jazz Pharmaceuticals plc,Jazz Pharmaceuticals plc
JBGS,JBG SMITH Properties,JBG SMITH Properties
JBHT,J.B. Hunt Transport Services,J.B. Hunt Transport Services
JBL,Jabil,Jabil
JBLU,JetBlue Airways,JetBlue Airways
JBSS,John B. Sanfilippo & Son,John B. Sanfilippo & Son
JBT,John Bean,John Bean
JCAP,Jernigan Capital,Jernigan Capital
JCE,Nuveene Equity Alpha Fund of Beneficial Interest,Nuveen Core Equity Alpha Fund of Beneficial Interest
JCI,Johnsontrols International plc,Johnson Controls International plc
JCO,Nuveen Credit Opportunities 2022 Target Term Fund of Beneficial Interest,Nuveen Credit Opportunities 2022 Target Term Fund of Beneficial Interest
JCOM,j2 Global,j2 Global
JCP,J.C. Penneypany,J.C. Penney Company
JCS,Communications Systems,Communications Systems
JCTCF,Jewett-Cameron Tradingpany,Jewett-Cameron Trading Company
JD,JD.com,JD.com
JDD,Nuveen Diversified Dividend andme Fund Shares of Beneficial Interest,Nuveen Diversified Dividend and Income Fund Shares of Beneficial Interest
JE,Just Energy Group (Canada),Just Energy (Canada)
JEC,Jacobs Engineering Group,Jacobs Engineering
JEF,Jefferies Financial Group,Jefferies Financial
JELD,JELD-WEN Holding,JELD-WEN Holding
JEMD,Nuveen Emerging Markets Debt 2022 Target Term Fund of Beneficial Interest $0.01 par value per share,Nuveen Emerging Markets Debt 2022 Target Term Fund of Beneficial Interest $0.01 par value per share
JEQ,Aberdeen Japan Equity Fund,Aberdeen Japan Equity Fund
JFR,Nuveen Floating Rateme Fund,Nuveen Floating Rate Income Fund
JG,Aurora Mobile Limited,Aurora Mobile Limited
JGH,Nuveen Global Highme Fund of Beneficial Interest,Nuveen Global High Income Fund of Beneficial Interest
JHB,Nuveen Highme November 2021 Target Term Fund,Nuveen High Income November 2021 Target Term Fund
JHD,Nuveen Highme December 2019 Target Term Fund of Beneficial Interest,Nuveen High Income December 2019 Target Term Fund of Beneficial Interest
JHG,Janus Henderson Group plc,Janus Henderson plc
JHI,John Hancock Investors Trust,John Hancock Investors Trust
JHS,John Hancockme Securities Trust,John Hancock Income Securities Trust
JHX,James Hardie Industries plc American Depositary Shares (Ireland),James Hardie Industries plc American Depositary Shares (Ireland)
JHY,Nuveen Highme 2020 Target Term Fund of Beneficial Interest,Nuveen High Income 2020 Target Term Fund of Beneficial Interest
JILL,J. Jill,J. Jill
JJSF,J & J Snack Foodsp.,J & J Snack Foods
JKD,iShares Morningstar Large-Cap,iShares Morningstar Large-Cap
JKE,iShares Morningstar Large-Cap Growth,iShares Morningstar Large-Cap Growth
JKF,iShares Morningstar Large-Cap Value,iShares Morningstar Large-Cap Value
JKG,iShares Morningstar Mid-Cap,iShares Morningstar Mid-Cap
JKH,iShares Morningstar Mid-Cap Growth,iShares Morningstar Mid-Cap Growth
JKHY,Jack Henry & Associates,Jack Henry & Associates
JKI,iShares Morningstar Mid-Cap ETF,iShares Morningstar Mid-Cap ETF
JKJ,iShares Morningstar Small-Cap,iShares Morningstar Small-Cap
JKK,iShares Morningstar Small-Cap Growth,iShares Morningstar Small-Cap Growth
JKL,iShares Morningstar Small-Cap Value ETFnd,iShares Morningstar Small-Cap Value ETFnd
JKS,JinkoSolar Holdingpany Limited American Depositary Shares (each representing 4),JinkoSolar Holding Company Limited American Depositary Shares (each representing 4)
JLL,Jones Lang LaSallerporated,Jones Lang LaSalle Incorporated
JLS,Nuveen Mortgage Opportunity Term Fund,Nuveen Mortgage Opportunity Term Fund
JMEI,Jumei International Holding Limited American Depositary Shares each representing one Class A,Jumei International Holding Limited American Depositary Shares each representing one
JMF,Nuveen Energy MLP Total Return Fund of Beneficial Interest,Nuveen Energy MLP Total Return Fund of Beneficial Interest
JMLP,Nuveen All Cap Energy MLP Opportunities Fund of Beneficial Interest,Nuveen All Cap Energy MLP Opportunities Fund of Beneficial Interest
JMM,Nuveen Multi-Marketme Fund (MA),Nuveen Multi-Market Income Fund (MA)
JMP,JMP Group LLC,JMP LLC
JMT,Nuveen Mortgage Opportunity Term Fund 2 of Beneficial Interest,Nuveen Mortgage Opportunity Term Fund 2 of Beneficial Interest
JMU,JMU Limited,JMU Limited
JNCE,Jounce Therapeutics,Jounce Therapeutics
JNJ,Johnson & Johnson,Johnson & Johnson
JNK,SPDR Bloomberg Barclays High Yield Bond,SPDR Bloomberg Barclays High Yield Bond
JNPR,Juniper Networks,Juniper Networks
JOB,GEE Group,GEE
JOBS,51job,51job
JOE,St. Joepany (The),St. Joe Company (The)
JOF,Japan Smaller Capitalization Fund,Japan Smaller Capitalization Fund
JOUT,Johnson Outdoors,Johnson Outdoors
JP,Jupai Holdings Limited American Depositary Shares each representing six,Jupai Limited American Depositary Shares each representing six
JPC,Nuveen Preferred &me Opportunities Fund,Nuveen Preferred & Income Opportunities Fund
JPI,Nuveen Preferred andme Term Fund of Beneficial Interest,Nuveen Preferred and Income Term Fund of Beneficial Interest
JPM,JP Morgan Chase &,JP Morgan.
JPS,Nuveen Preferred &me Securities Fund,Nuveen Preferred & Income Securities Fund
JPT,Nuveen Preferred andme 2022 Term Fund of Beneficial Interest,Nuveen Preferred and Income 2022 Term Fund of Beneficial Interest
JPXN,iShares JPX-Nikkei 400,iShares JPX-Nikkei 400
JQC,Nuveen Credit Strategiesme Fund Shares of Beneficial Interest,Nuveen Credit Strategies Income Fund Shares of Beneficial Interest
JRI,Nuveen Real Assetme and Growth Fund of Beneficial Interest,Nuveen Real Asset Income and Growth Fund of Beneficial Interest
JRJC,China Finance Online Limited,China Finance Online Co. Limited
JRO,Nuveen Floating Rateme Opportuntiy Fund Shares of Beneficial Interest,Nuveen Floating Rate Income Opportuntiy Fund Shares of Beneficial Interest
JRS,Nuveen Real Estateme Fund of Beneficial Interest,Nuveen Real Estate Income Fund of Beneficial Interest
JRSH,Jerash Holdings (US),Jerash (US)
JRVR,James River Group Holdings.,James River
JSD,Nuveen Short Duration Credit Opportunities Fund of Beneficial Interest,Nuveen Short Duration Credit Opportunities Fund of Beneficial Interest
JSYN,Jensyn Acquistionp.,Jensyn Acquistion
JT,Jianpu Technology American depositary shares each two representing five Class A,Jianpu Technology American depositary shares each two representing five
JTA,Nuveen Tax-Advantaged Total Return Strategy Fund of Beneficial Interest,Nuveen Tax-Advantaged Total Return Strategy Fund of Beneficial Interest
JTD,Nuveen Tax-Advantaged Dividend Growth Fund of Beneficial Interest,Nuveen Tax-Advantaged Dividend Growth Fund of Beneficial Interest
JVA,Coffee Holding,Coffee Holding Co.
JW.A,John Wiley & Sons,John Wiley & Sons
JW.B,John Wiley & Sons,John Wiley & Sons
JWN,Nordstrom,Nordstrom
JXI,iShares Global Utilities,iShares Global Utilities
JYNT,The Jointp.,The Joint
K,Kelloggpany,Kellogg Company
KAI,Kadant,Kadant
KALA,Kala Pharmaceuticals,Kala Pharmaceuticals
KALU,Kaiser Aluminum,Kaiser Aluminum
KALV,KalVista Pharmaceuticals,KalVista Pharmaceuticals
KAMN,Kaman,Kaman
KAR,KAR Auction Services,KAR Auction Services
KB,KB Financial Group,KB Financial
KBAL,Kimball International,Kimball International
KBE,SPDR S&P Bank,SPDR S&P Bank
KBH,KB Home,KB Home
KBLM,KBL Mergerp. IV,KBL Merger IV
KBR,KBR,KBR
KBSF,KBS Fashion Group Limited,KBS Fashion Limited
KBWD,Invesco KBW High Dividend Yield Financial ETF,Invesco KBW High Dividend Yield Financial ETF
KBWP,Invesco KBW Property & Casualty Insurance ETF,Invesco KBW Property & Casualty Insurance ETF
KBWR,Invesco KBW Regional Banking ETF,Invesco KBW Regional Banking ETF
KBWY,Invesco KBW Premium Yield Equity REIT ETF,Invesco KBW Premium Yield Equity REIT ETF
KCAP,KCAP Financial,KCAP Financial
KCE,SPDR S&P Capital Markets,SPDR S&P Capital Markets
KDMN,Kadmon Holdings,Kadmon
KDP,Keurig Dr Pepper,Keurig Dr Pepper
KE,Kimball Electronics,Kimball Electronics
KEG,Key Energy Services,Key Energy Services
KELYA,Kelly Services Class Amon Stock,Kelly Services Common Stock
KELYB,Kelly Services Class Bmon Stock,Kelly Services B Common Stock
KEM,KEMET,KEMET
KEN,Kenon Holdings.,Kenon
KEP,Korea Electric Power,Korea Electric Power
KEQU,Kewaunee Scientific,Kewaunee Scientific
KEX,Kirby,Kirby
KEY,KeyCorp,KeyCorp
KEYS,Keysight,Keysight
KEYW,The KEYW Holding,The KEYW Holding
KF,Korea Fund (The),Korea Fund (The)
KFFB,Kentucky First Federal Bancorp,Kentucky First Federal Bancorp
KFRC,Kforce,Kforce
KFS,Kingsway Financial Services (DE),Kingsway Financial Services (DE)
KFY,Korn Ferry,Korn Ferry
KGC,Kinross Gold,Kinross Gold
KGJI,Kingold Jewelry,Kingold Jewelry
KHC,The Kraft Heinzpany,The Kraft Heinz Company
KIDS,OrthoPediatricsp.,OrthoPediatrics
KIE,SPDR S&P Insurance,SPDR S&P Insurance
KIM,Kimco Realty,Kimco Realty
KIN,Kindred Biosciences,Kindred Biosciences
KINS,Kingstonepanies,Kingstone Companies
KIO,KKRme Opportunities Fund,KKR Income Opportunities Fund
KIQ,Kelso,Kelso
KIRK,Kirkland,Kirkland's
KKR,KKR & Class A,KKR & Co.
KL,Kirkland Lake Gold.,Kirkland Lake Gold
KLAC,KLA-Tencor,KLA-Tencor
KLIC,Kulicke and Soffa Industries,Kulicke and Soffa Industries
KLXE,KLX Energy Services Holdings,KLX Energy Services
KMB,Kimberly-Clark,Kimberly-Clark
KMDA,Kamada.,Kamada
KMF,Kayne Anderson Midstream Energy Fund,Kayne Anderson Midstream Energy Fund
KMI,Kinder Morgan,Kinder Morgan
KMPH,KemPharm,KemPharm
KMPR,Kemper,Kemper
KMT,Kennametal,Kennametal
KMX,CarMax,CarMax
KN,Knowles,Knowles
KNDI,Kandi Group,Kandi
KNL,Knoll,Knoll
KNOP,KNOT Offshore Partners LP representing Limited Partner Interests,KNOT Offshore Partners representing Limited Partner Interests
KNOW,Direxion All Cap Insider Sentiment Shares,Direxion All Cap Insider Sentiment Shares
KNSA,Kiniksa Pharmaceuticals.,Kiniksa Pharmaceuticals
KNSL,Kinsale Capital Group,Kinsale Capital
KNX,Knight-Swift Transportation Holdings,Knight-Swift Transportation
KO,Coca-Colapany (The),Coca-Cola Company (The)
KOD,Kodiak Sciences,Kodiak Sciences
KODK,Eastman Kodakpanymon New,Eastman Kodak Company Common New
KOF,Cocaa Femsa S.A.B. de C.V.,Coca Cola Femsa S.A.B. de C.V.
KOL,VanEck Vectorsl,VanEck Vectors Coal
KONA,Kona Grill,Kona Grill
KOOL,Cesca Therapeutics,Cesca Therapeutics
KOP,Koppers Holdings,Koppers
KOPN,Kopin,Kopin
KOS,Kosmos Energy. (DE),Kosmos Energy (DE)
KOSS,Koss,Koss
KPFS,Pepper Food Service.,Pepper Food Service Co.
KPTI,Karyopharm Therapeutics,Karyopharm Therapeutics
KR,Krogerpany (The),Kroger Company (The)
KRA,Kraton,Kraton
KRC,Kilroy Realty,Kilroy Realty
KRE,SPDR S&P Regional Banking,SPDR S&P Regional Banking
KREF,KKR Real Estate Finance Trust,KKR Real Estate Finance Trust
KRG,Kite Realty Group Trust,Kite Realty Trust
KRNT,Kornit Digital.,Kornit Digital
KRNY,Kearny Financial,Kearny Financial
KRO,Kronos Worldwide,Kronos Worldwide
KRP,Kimbell Royalty Partners Representing Limited Partner Interests,Kimbell Royalty Partners Representing Limited Partner Interests
KRYS,Krystal Biotech,Krystal Biotech
KSM,DWS Strategic Municipalme Trust,DWS Strategic Municipal Income Trust
KSS,Kohl's,Kohl's
KSU,Kansas City Southern,Kansas City Southern
KT,KT,KT
KTCC,Key Tronic,Key Tronic
KTF,DWS Municipalme Trust,DWS Municipal Income Trust
KTOS,Kratos Defense & Security Solutions,Kratos Defense & Security Solutions
KTOV,Kitov Pharma.,Kitov Pharma
KURA,Kura Oncology,Kura Oncology
KVHI,KVH Industries,KVH Industries
KW,Kennedy-Wilson Holdings,Kennedy-Wilson
KWR,Quaker Chemical,Quaker Chemical
KXI,iShares Globalsumer Staples,iShares Global Consumer Staples
KYN,Kayne Anderson MLP/Midstream Investmentpany,Kayne Anderson MLP/Midstream Investment Company
KZIA,Kazia Therapeutics Limited,Kazia Therapeutics Limited
KZR,Kezar Life Sciences,Kezar Life Sciences
L,Loews,Loews
LABL,Multi-Color,Multi-Color
LAC,Lithium Americasp.,Lithium Americas
LACQ,Leisure Acquisitionp.,Leisure Acquisition
LAD,Lithia Motors,Lithia Motors
LADR,Ladder Capitalp Class A,Ladder Capital
LAIX,LAIX American Depositary Shares each representing one Class A,LAIX American Depositary Shares each representing one
LAKE,Lakeland Industries,Lakeland Industries
LAMR,Lamar Advertisingpany,Lamar Advertising Company
LANC,Lancasterony,Lancaster Colony
LAND,Gladstone Land,Gladstone Land
LARK,Landmark Bancorp,Landmark Bancorp
LASR,nLIGHT,nLIGHT
LAUR,Laureate Education,Laureate Education
LAWS,Lawson Products,Lawson Products
LAZ,Lazard LTD. LTD. Class A,Lazard
LAZY,Lazydays Holdings,Lazydays
LB,L Brands,L Brands
LBAI,Lakeland Bancorp,Lakeland Bancorp
LBC,Luther Burbank,Luther Burbank
LBRDA,Liberty Broadband Class Amon Stock,Liberty Broadband Common Stock
LBRDK,Liberty Broadband,Liberty Broadband
LBRT,Liberty Oilfield Services Class A,Liberty Oilfield Services
LBTYA,Liberty Global plc Class A Ordinary Shares,Liberty Global plc Ordinary Shares
LBTYB,Liberty Global plc Class B Ordinary Shares,Liberty Global plc B Ordinary Shares
LBTYK,Liberty Global plc,Liberty Global plc
LBY,Libbey,Libbey
LC,LendingClub,LendingClub
LCI,Lannett Co,Lannett
LCII,LCI Industries,LCI Industries
LCNB,LCNB,LCNB
LCUT,Lifetime Brands,Lifetime Brands
LD,iPath Bloomberg Lead Subindex Total Return SM Index ETN,iPath Bloomberg Lead Subindex Total Return SM Index ETN
LDL,Lydall,Lydall
LDOS,Leidos Holdings,Leidos
LDP,Cohen & Steers Limited Duration Preferred andme Fund,Cohen & Steers Limited Duration Preferred and Income Fund
LE,Lands' End,Lands' End
LEA,Lear,Lear
LEAF,Leaf Group.,Leaf
LECO,Lincoln Electric Holdings,Lincoln Electric
LEDS,SemiLEDS,SemiLEDS
LEE,Lee Enterprisesrporated,Lee Enterprises Incorporated
LEG,Leggett & Plattrporated,Leggett & Platt Incorporated
LEGH,Legacy Housing,Legacy Housing
LEJU,Leju Holdings Limited American Depositary Shares each representing one,Leju Limited American Depositary Shares each representing one
LEMB,iShares J.P. Morgan EM Local Currency Bond,iShares J.P. Morgan EM Local Currency Bond
LEN,Lennar Class A,Lennar
LEN.B,Lennar Class B,Lennar B
LENS,Presbia PLC,Presbia PLC
LEO,Dreyfus Strategic Municipals,Dreyfus Strategic Municipals
LEU,Centrus Energyp. Class A,Centrus Energy
LEVB,Level Brands,Level Brands
LEVL,Level One Bancorp,Level One Bancorp
LEXEA,Liberty Expedia Holdings Series Amon Stock,Liberty Expedia Series Common Stock
LEXEB,Liberty Expedia Holdings Series Bmon Stock,Liberty Expedia Series B Common Stock
LFAC,LF Capital Acquistionp.,LF Capital Acquistion
LFC,China Life Insurancepany Limited American Depositary Shares,China Life Insurance Company Limited American Depositary Shares
LFUS,Littelfuse,Littelfuse
LFVN,Lifevantage,Lifevantage
LGC,Legacy Acquisitionp. Class A par value $0.0001 per share,Legacy Acquisition par value $0.0001 per share
LGCY,Legacy Reserves,Legacy Reserves
LGF.A,Lions Gate Entertainment Class A,Lions Gate Entertainment
LGF.B,Lions Gate Entertainment Class B Non-Voting Shares,Lions Gate Entertainment B Non-Voting Shares
LGI,Lazard Global Total Return andme Fund,Lazard Global Total Return and Income Fund
LGIH,LGI Homes,LGI Homes
LGL,LGL Group (The),LGL (The)
LGND,Ligand Pharmaceuticalsrporated,Ligand Pharmaceuticals Incorporated
LH,Laboratory of America Holdings,Laboratory of America
LHC,Leo Holdingsp. Class A,Leo
LHCG,LHC Group,LHC
LIFE,aTyr Pharma,aTyr Pharma
LII,Lennox International,Lennox International
LILA,Liberty Latin America.,Liberty Latin America
LILAK,Liberty Latin America.,Liberty Latin America
LIN,Linde plc,Linde plc
LINC,Lincoln Educational Services,Lincoln Educational Services
LIND,Lindblad Expeditions Holdings,Lindblad Expeditions
LINK,Interlink Electronics,Interlink Electronics
LION,Fidelity Southern,Fidelity Southern
LIQT,LiqTech International,LiqTech International
LITB,LightInTheBox Holding. American Depositary Shares each representing 2,LightInTheBox Holding Co. American Depositary Shares each representing 2
LITE,Lumentum Holdings,Lumentum
LIVE,Live Venturesrporated,Live Ventures Incorporated
LIVN,LivaNova PLC,LivaNova PLC
LIVX,LiveXLive Media,LiveXLive Media
LJPC,La Jolla Pharmaceuticalpany,La Jolla Pharmaceutical Company
LKCO,Luokung Technologyp,Luokung Technology
LKFN,Lakeland Financial,Lakeland Financial
LKQ,LKQ,LKQ
LKSD,LSCmunications,LSC Communications
LL,Lumber Liquidators Holdings,Lumber Liquidators
LLEX,Lilis Energy,Lilis Energy
LLIT,Lianluo Smart Limited,Lianluo Smart Limited
LLL,L3,L3
LLNW,Limelight Networks,Limelight Networks
LLY,Eli Lilly andpany,Eli Lilly and Company
LM,Legg Mason,Legg Mason
LMAT,LeMaitre Vascular,LeMaitre Vascular
LMB,Limbach Holdings,Limbach
LMFA,LM Funding America,LM Funding America
LMNR,Limoneira Co,Limoneira
LMNX,Luminex,Luminex
LMRK,Landmark Infrastructure Partners LP,Landmark Infrastructure Partners
LMST,Limestone Bancorp,Limestone Bancorp
LMT,Lockheed Martin,Lockheed Martin
LN,LINE American Depositary Shares (each representing one share of),LINE American Depositary Shares (each representing one share of)
LNC,Lincoln National,Lincoln National
LND,Brasilagro Brazilian Agric Real EstateSponsored ADR (Brazil),Brasilagro Brazilian Agric Real Estate Sponsored (Brazil)
LNDC,Landec,Landec
LNG,Cheniere Energy,Cheniere Energy
LNN,Lindsay,Lindsay
LNT,Alliant Energy,Alliant Energy
LNTH,Lantheus Holdings,Lantheus
LOAC,Longevity Acquisition,Longevity Acquisition
LOAN,Manhattan Bridge Capital,Manhattan Bridge Capital
LOB,Live Oak Bancshares,Live Oak Bancshares
LOCO,El Pollo Loco Holdings,El Pollo Loco
LODE,Comstock Mining,Comstock Mining
LOGC,LogicBio Therapeutics,LogicBio Therapeutics
LOGI,Logitech International S.A.,Logitech International S.A.
LOGM,LogMeIn,LogMeIn
LOMA,Loma Negrapania Industrial Argentina Sociedad Anonima ADS,Loma Negra Compania Industrial Argentina Sociedad Anonima ADS
LONE,Lonestar Resources US,Lonestar Resources US
LOOP,Loop Industries,Loop Industries
LOPE,Grand Canyon Education,Grand Canyon Education
LOR,Lazard World Dividend &me Fund,Lazard World Dividend & Income Fund
LORL,Loral Space andmunications,Loral Space and Communications
LOV,Spark Networks American Depositary Shares (each representing one-tenth of an),Spark Networks American Depositary Shares (each representing one-tenth of an)
LOVE,The Lovesacpany,The Lovesac Company
LOW,Lowe'spanies,Lowe's Companies
LOXO,Loxo Oncology,Loxo Oncology
LPCN,Lipocine,Lipocine
LPG,Dorian LPG.,Dorian LPG
LPI,Laredo Petroleum,Laredo Petroleum
LPL,LG DisplayAMERICAN DEPOSITORY SHARES,LG Display AMERICAN DEPOSITORY SHARES
LPLA,LPL Financial Holdings,LPL Financial
LPSN,LivePerson,LivePerson
LPT,Liberty Property Trust,Liberty Property Trust
LPTH,LightPath,LightPath
LPTX,Leap Therapeutics,Leap Therapeutics
LPX,Louisiana-Pacific,Louisiana-Pacific
LQD,iShares iBoxx $ Investment Gradeporate Bond,iShares iBoxx $ Investment Grade Corporate Bond
LQDA,Liquidia,Liquidia
LQDT,Liquidity Services,Liquidity Services
LRAD,LRAD,LRAD
LRCX,Lam Research,Lam Research
LRN,K12,K12
LSBK,Lake Shore Bancorp,Lake Shore Bancorp
LSCC,Lattice Semiconductor,Lattice Semiconductor
LSI,Life Storage,Life Storage
LSTR,Landstar System,Landstar System
LSXMA,Liberty Media Series A Liberty SiriusXMmon Stock,Liberty Media Series Liberty SiriusXM Common Stock
LSXMB,Liberty Media Series B Liberty SiriusXMmon Stock,Liberty Media Series B Liberty SiriusXM Common Stock
LSXMK,Liberty Media Series C Liberty SiriusXMmon Stock,Liberty Media Series C Liberty SiriusXM Common Stock
LTBR,Lightbridge,Lightbridge
LTC,LTC Properties,LTC Properties
LTHM,Livent,Livent
LTL,ProShares Ultra Telecommunications,ProShares Ultra Telecommunications
LTM,LATAM Airlines Group S.A.,LATAM Airlines S.A.
LTN,Union Acquisitionp.,Union Acquisition
LTN^,LiveXLive Media,LiveXLive Media
LTPZ,Pimco 15 Year U.S. TIPS Index Exchange-Traded Fund,Pimco 15 Year U.S. TIPS Index Exchange-Traded Fund
LTRPA,Liberty TripAdvisor Holdings Series Amon Stock,Liberty TripAdvisor Series Common Stock
LTRPB,Liberty TripAdvisor Holdings Series Bmon Stock,Liberty TripAdvisor Series B Common Stock
LTRX,Lantronix,Lantronix
LTS,Ladenburg Thalmann Financial Services,Ladenburg Thalmann Financial Services
LTXB,LegacyTexas Financial Group,LegacyTexas Financial
LUB,Luby's,Luby's
LULU,Lululemon,lululemon athletica
LUNA,Luna Innovationsrporated,Luna Innovations Incorporated
LUV,Southwest Airlinespany,Southwest Airlines Company
LVL,Invesco S&P Global Dividend Opportunities Index,Invesco S&P Global Dividend Opportunities Index
LVS,Las Vegas Sandsp.,Las Vegas Sands
LW,Lamb Weston Holdings,Lamb Weston
LWAY,Lifeway Foods,Lifeway Foods
LX,LexinFintech Holdings.,LexinFintech
LXFR,Luxfer Holdings PLC,Luxfer PLC
LXFT,Luxoft Holding Class A,Luxoft Holding
LXP,Lexington Realty Trust,Lexington Realty Trust
LXRX,Lexicon Pharmaceuticals,Lexicon Pharmaceuticals
LXU,LSB Industries,LSB Industries
LYB,LyondellBasell Industries NV Class A (Netherlands),LyondellBasell Industries NV (Netherlands)
LYG,Lloyds Banking Group Plc American Depositary Shares,Lloyds Banking Plc American Depositary Shares
LYL,Dragon Victory International Limited,Dragon Victory International Limited
LYTS,LSI Industries,LSI Industries
LYV,Live Nation Entertainment,Live Nation Entertainment
LZB,La-Z-Boyrporated,La-Z-Boy Incorporated
M,Macy's,Macy's
MA,Mastercardrporated,Mastercard Incorporated
MAA,Mid-America Apartmentmunities,Mid-America Apartment Communities
MAC,Macerichpany (The),Macerich Company (The)
MACK,Merrimack Pharmaceuticals,Merrimack Pharmaceuticals
MAG,MAG Silver,MAG Silver
MAGS,Magal Security Systems.,Magal Security Systems
MAIN,Main Street Capital,Main Street Capital
MAMS,MAM Software Group,MAM Software
MAN,ManpowerGroup,ManpowerGroup
MANH,Manhattan Associates,Manhattan Associates
MANT,ManTech International,ManTech International
MANU,Manchester United. Class A,Manchester United
MAR,Marriott International,Marriott International
MARA,Marathon Patent Group,Marathon Patent
MARK,Remark Holdings,Remark
MARPS,Marine Petroleum Trust Units of Beneficial Interest,Marine Petroleum Trust Units of Beneficial Interest
MAS,Masco,Masco
MASI,Masimo,Masimo
MAT,Mattel,Mattel
MATW,Matthews International,Matthews International
MATX,Matson,Matson
MAV,Pioneer Municipal Highme Advantage Trust of Beneficial Interest,Pioneer Municipal High Income Advantage Trust of Beneficial Interest
MAXR,Maxar,Maxar
MAYS,J. W. Mays,J. W. Mays
MB,MINDBODY,MINDBODY
MBB,iShares MBS ETF,iShares MBS ETF
MBCN,Middlefield Bancp.,Middlefield Banc
MBFI,MB Financial,MB Financial
MBG,SPDR Bloomberg Barclays Mortgage Backed Bond,SPDR Bloomberg Barclays Mortgage Backed Bond
MBI,MBIA,MBIA
MBII,Marrone Bio Innovations,Marrone Bio Innovations
MBIN,Merchants Bancorp,Merchants Bancorp
MBIO,Mustang Bio,Mustang Bio
MBOT,Microbot Medical,Microbot Medical
MBRX,Moleculin Biotech,Moleculin Biotech
MBT,Mobile TeleSystems PJSC,Mobile TeleSystems PJSC
MBTF,M B T Financialp,M B T Financial
MBUU,Malibu Boats,Malibu Boats
MBWM,Mercantile Bank,Mercantile Bank
MC,Moelis &pany Class A,Moelis & Company
MCA,Blackrock MuniYield California Quality Fund,Blackrock MuniYield California Quality Fund
MCB,Metropolitan Bank Holdingp.,Metropolitan Bank Holding
MCBC,Macatawa Bank,Macatawa Bank
MCC,Medley Capital,Medley Capital
MCD,McDonald's,McDonald's
MCEP,Mid-Con Energy Partners LP,Mid-Con Energy Partners
MCF,Contango Oil & Gaspany,Contango Oil & Gas Company
MCFT,MasterCraft Boat Holdings,MasterCraft Boat
MCHI,iShares MSCI China ETF,iShares MSCI China ETF
MCHP,Microchip Technologyrporated,Microchip Technology Incorporated
MCHX,Marchex,Marchex
MCI,Baringsporate Investors,Barings Corporate Investors
MCK,McKesson,McKesson
MCN,Madisonered Call & Equity Strategy Fund,Madison Covered Call & Equity Strategy Fund
MCO,Moody's,Moody's
MCR,MFS Charterme Trust,MFS Charter Income Trust
MCRB,Seres Therapeutics,Seres Therapeutics
MCRI,Monarch Casino & Resort,Monarch Casino & Resort
MCRN,Milacron Holdingsp.,Milacron
MCRO,IQ Hedge Macro Tracker,IQ Hedge Macro Tracker
MCS,Marcus (The),Marcus (The)
MCY,Mercury General,Mercury General
MD,Mednax,Mednax
MDB,MongoDB,MongoDB
MDC,M.D.C. Holdings,M.D.C.
MDCA,MDC Partners,MDC Partners
MDCO,The Medicinespany,The Medicines Company
MDGL,Madrigal Pharmaceuticals,Madrigal Pharmaceuticals
MDGS,Medigus.,Medigus
MDIV,Multi-Asset Diversifiedme Index Fund,Multi-Asset Diversified Income Index Fund
MDJH,MDJM LTD,MDJM
MDLY,Medley Management Class A,Medley Management
MDLZ,Mondelez International,Mondelez International
MDP,Meredith,Meredith
MDR,McDermott International,McDermott International
MDRR,Medalist Diversified REIT,Medalist Diversified REIT
MDRX,Allscripts Healthcare Solutions,Allscripts Healthcare Solutions
MDSO,Medidata Solutions,Medidata Solutions
MDT,Medtronic plc.,Medtronic plc.
MDU,MDU Resources Group (Holdingpany),MDU Resources (Holding Company)
MDWD,MediWound.,MediWound
MDY,SPDR MidCap Trust Series I,SPDR MidCap Trust Series I
